mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
22.7,30.2,5.0,0,98,0.5,0.6,0.0,0.0,3.0,,,,,
28.9,25.5,22.0,1,98,0.4,0.6,0.0,0.0,3.0,,,,,
19.2,21.8,14.0,1,98,0.5,0.8,0.0,0.0,4.0,23.3,2.6,23.0,13.0,30.0
23.6,28.0,9.0,1,98,0.4,0.5,0.0,0.0,2.0,25.0,3.9,23.0,22.0,33.0
30.8,35.6,8.0,1,94,,,,,,,,,,
18.5,33.3,2.0,2,98,,,,,,,,,,
9.9,22.9,3.0,0,98,0.8,2.3,0.0,0.0,15.0,22.0,2.0,22.0,12.0,27.0
17.2,33.8,2.0,1,98,1.2,1.9,1.0,0.0,8.0,22.4,0.8,22.0,22.0,25.0
36.1,46.0,3.0,1,98,,,,,,,,,,
33.0,44.5,3.0,1,98,,,,,,,,,,
1.9,1.0,1.0,1,3,,,,,,,,,,
3.3,5.4,3.0,1,55,0.1,0.3,0.0,0.0,1.0,18.0,0.0,18.0,18.0,18.0
9.3,13.4,4.0,2,67,1.2,4.2,0.0,0.0,25.0,18.2,0.9,18.0,18.0,23.0
12.0,18.4,6.0,3,98,3.1,8.7,0.0,0.0,34.0,18.5,3.1,18.0,12.0,32.0
4.4,9.7,3.0,1,67,0.3,0.5,0.0,0.0,2.0,24.0,12.5,18.0,18.0,55.0
16.0,25.3,3.0,1,99,0.3,0.9,0.0,0.0,10.0,21.7,8.3,18.0,14.0,49.0
32.3,44.2,3.0,2,100,2.1,7.2,0.0,0.0,34.0,23.8,11.5,18.0,18.0,52.0
32.0,44.7,3.0,1,100,3.3,5.5,1.0,0.0,28.0,22.7,10.6,18.0,18.0,51.0
27.9,38.4,3.0,1,100,0.9,1.0,0.0,0.0,2.0,21.4,7.4,18.0,18.0,48.0
37.2,38.5,12.0,3,100,10.9,13.1,4.0,0.0,34.0,42.1,13.4,40.0,18.0,67.0
30.8,34.0,5.0,1,100,0.4,1.6,0.0,0.0,12.0,21.0,5.2,19.0,18.0,41.0
28.0,31.3,8.0,2,100,0.5,0.8,0.0,0.0,4.0,18.0,0.2,18.0,18.0,19.0
36.1,40.2,7.0,1,100,11.9,13.8,4.0,0.0,34.0,23.5,6.8,20.0,18.0,48.0
