,kospi200,s&p 500,shanghai,nikkei 225,us_rates,jp_rates,ch_rates
2021-05-10,435.63,4188.43,3427.99,29518.34,1113.5,1023.96,173.79
2021-05-11,428.77,4152.1,3441.85,28608.59,1119.0,1029.2,174.24
2021-05-12,421.86,4063.04,3462.75,28147.51,1125.5,1035.47,174.73
2021-05-13,416.07,4112.5,3429.54,27448.01,1133.5,1033.74,175.55
2021-05-14,420.17,4173.85,3490.38,28084.47,1129.5,1032.78,175.35
2021-05-17,418.27,4163.29,3517.62,27824.83,1138.0,1042.94,176.61
2021-05-18,423.09,4127.83,3529.01,28406.84,1129.0,1035.83,175.76
2021-05-19,423.09,4115.68,3510.97,28044.45,1129.0,1035.83,175.76
2021-05-20,421.68,4159.12,3506.94,28098.25,1132.5,1039.23,175.82
2021-05-21,422.08,4155.86,3486.56,28317.83,1127.5,1037.5,175.36
2021-05-24,420.57,4197.05,3497.28,28364.61,1126.5,1034.39,175.25
2021-05-25,424.35,4188.13,3581.34,28553.98,1123.0,1030.84,175.45
2021-05-26,423.54,4195.99,3593.36,28642.19,1117.0,1026.04,175.1
2021-05-27,423.0,4200.88,3608.85,28549.01,1117.0,1023.41,175.35
2021-05-28,425.95,4204.11,3600.78,29149.41,1115.0,1014.33,175.22
2021-05-31,427.91,4204.11,3615.48,28860.08,1108.5,1010.58,173.97
2021-06-01,430.32,4202.04,3624.71,28814.34,1109.5,1012.36,173.81
2021-06-02,430.15,4208.12,3597.14,28946.14,1113.5,1013.61,174.3
2021-06-03,433.87,4192.85,3584.21,29058.11,1114.5,1015.35,174.4
2021-06-04,432.22,4229.89,3591.85,28941.52,1116.5,1013.66,174.18
2021-06-07,433.26,4226.52,3599.54,29019.24,1112.5,1016.35,173.94
2021-06-08,432.88,4227.26,3580.11,28963.56,1116.0,1019.55,174.48
2021-06-09,428.16,4219.55,3591.4,28860.8,1113.5,1017.31,174.32
2021-06-10,429.35,4239.18,3610.86,28958.56,1116.0,1019.32,174.69
